Course name,Instructor,Course_Difficulty,Time_Commitment_Required,Attendance_Policy,Pre_requisites,Evaluation_Scheme,Topics_Covered,Teaching_Style,Tutorials_Assignments_Projects,Feedback_on_Exams,Course_Importance,References_Used,When_to_take_course
PH251 - Classical Mechanics,Archana Pai,This is an entry level course for the Physics Minor. It covers general topics on mechanics and the mathematics related to it that would interest any physics enthusiast. The course curriculum can be diverse but the topics are easy to understand.,Regularly watching the lectures are more than enough for covering the syllabus and scoring well in exams.,The instructor uploads pre-recorded videos and takes doubt sessions once a week. These 30 minute sessions are the only ones one needs to attend and the instructor takes the attendance in here into consideration.,"First-year core courses in Mathematics(Calculus, Linear Algebra and Differential Equations)","The instructor assigns a course project, several assignments and the standard exams with varied weightage.",The content overlaps with various core courses of mechanical engineering (like KDoM and Solid Mechanics).,,,,,,"I took the course in my third semester for pursuing the physics minor. In my opinion, it shall be taken in the third semester itself for a physics minor or it can be taken during any odd semester."
MM719 - Introduction to Ab-initio Methods in Materials Modelling,Sumit Saxena,Very Simple,"1-2 hour of reading slides before any test(quiz, midsem or endsem)",No Attendance,"Knowledge of Density Functional Theory might save you some time in the project, but not necessary.","50% Project
 20% Endsem
 30% Quiz(2) and Midsem","Pair potentials, Variational principles, Born â€“ Oppenheimer Approximation, Hartree Approximation, Hartree â€“ Fock Approximation, , Introduction to Molecular Dynamics, Introduction to Density Functional Theory, Case studies","Zoom- was completely online for me.
 WhatsApp group was created for queries","Explained in classes, Fairly straightforward.",Most types of questions were covered in the lectures already.,,,"Can tag as elective directly, and if willing to do that, sem3 would be ideal, before intern season.
 If tagging as ALC, any odd sem works"
MM685 - Electrical and Magnetic Materials,Tanushree Chaudhury,Easy to Moderate,Around 4-5 hours per week,"None, but one is required to submit 80% of the evaluations done in this course",No hard prerequisites as such. Some background about semiconductors from EE 101 and preliminaries about nuclei formation from ME 221 will help.,"Homework: 20
 Midsem Viva + Take home endsem: 20
 Participation: 10 
 Term Paper: 50","Due to time constraints, the instructor could not cover topics 6, 7 and 8, so it became just an â€˜Electrical Materialsâ€™ course :p 
 Major part of the course was focused on topic no. 5",The instructor used MSTeams and significant weightage was given to in-class participation.,"There were 5 homework assignments throughout the course which were somewhat time consuming. The term paper had a weightage of 50% and the instructor floated a few topics for the same (for eg. transparent solar cells, sensors, etc). Teams of 2 were formed and the goal was to suggest better materials for the selected application. Basically, it was a literature review based on which we had to suggest our improvements.",There was no midsem but she took a viva and asked basic questions about the content. The endsem was in take-home mode with just one simple question and 24 hours to submit,"This course can provide decent exposure to synthesis techniques for semiconductors, transistors, other electrical devices if one is interested to work in companies like Intel, TSMC, etc. We had a guest lecture where the instructorâ€™s friend from Intel talked about her experience. The course will open avenues in materials research as well.","Recommended textbook is Electronic, Magnetic and Optical Materials by Pradeep Fulay","I took it in my 7th semester. There is no ideal time as such, but Iâ€™d suggest taking this after EE 101 and ME 221 to have a better background."
MM656 - Simulation and Optimisation,Sumit Saxena,"The course is easily one of the most straightforward courses in the department. It mainly teaches you formulating equations and constraints and then using different techniques to solve those equations. The professor is crisp and clear and easy to follow, and the slides used are pretty exhaustive. The pace at which it is taught is very comfortable. All in all, it is very easy to learn and score in this course.",This is not a time heavy course. Paying full attention in class should sufficiently prepare you for the exams. No extra efforts needed.,Attendance was not compulsory. Students were encouraged to attend all lectures and tutorials.,"None. Although basics of linear algebra would be helpful, all that is required is taught from scratch.","Quizzes - 20 mks
 Midsem - 20 mks
 Endsem - 40 mks
 Take home assignments - 20 mks",Can be found on ASC,Professor uses own slides to teach. Rarely his own notes are used. These are sufficient. Reference books are available but unnecessary for the purposes of the course.,Take home assignments are really straightforward and make you practice the concepts learnt in class.,"Scoring marks in exams is really easy. There is no real distinction between midsem, endsem and quizzes. Questions in exams are exactly on the same models that are taught in class. Some of them are very direct while a few are application based and might require you to think a little. But that is also easy and doesnâ€™t require any pre requisite knowledge.",,,No ideal time as such.
MM447 - Materials for Sustainable Development,Prof. Satish Vitta,"Course is pretty chill. The assignments are done without any need of lectures usually, and the exam(only 1 end-sem, nothing else) was pretty straightforward. The seminar was a bit demanding though",4ish hours for assignments would be maximum. The seminar took some effort. Most reports were graded very stringently. Not much could be prepped for Endsem as the content is more to do with basic EVS and common sense.,None,None,"Assignments, Seminar Report + PPT, Endsem","He did not provide slides, but only recordings, which made endsem prep cumbersome. Lectures were not very engaging, as was evident from attendance. Overall, not a good learning experience.","He did not provide slides, but only recordings, which made endsem prep cumbersome. Lectures were not very engaging, as was evident from attendance. Overall, not a good learning experience.","Some assignments were time consuming, as the questions asked may not be readily available in lectures or on the net.",Endsem prep was very short as content seemed very generic and there were no slides.,"I do not believe this course was very important. ES 200 covered the important concepts I believe. So, Itâ€™s better to look for something else if the content intrigued you.",,7th sem. Doing in non-placement sem would be better.
MG406 - Operations Management,Prof. Rahul Patil,"This course definitely makes it into the â€œchillâ€ category. Although tougher than ENT minor courses, it is significantly easier than mechanical core courses, and most other minor courses for that matter.","Simply attending all the lectures, without significant self-study is sufficient to get >=9 grade. => 3 hrs of lecture per week.","No such policy, as the course was run online in spring â€˜21, Prof. Patil did not levy any attendance policy.",There are no pre-requisites as such.,"2 Home works : 15%. 
 These are basic assignments to be done in groups of 2 students, 1 before midsem, 1 after midsem.",Provides a high-level introduction to every-day concepts in supply chain management.,Prof. Patil is an experienced supply chain manager-turned-Professor and uses a lot of case-studies and real-life simple examples to illustrate all the concepts. Heâ€™s very patient and explains any and all doubts in great detail.,"Reasonably straightforward and ample time to complete, there were 0 questions in any of the H.W. assignments that could be categorized as â€œdifficultâ€.","Midsem : Moderate difficulty, 2 hr moodle quiz, you would be done in 1 hr :)","This course is for you if you are:
 1) Slightly interested by Supply Chain Management,
 2) If you are just looking for a less-rigorous, low-effort, generous grading course,","There is a super-helpful book, available cheap 2nd hand on Amazon :","Spring 2021 (Jan â€˜21 -Aprilâ€™21)
 Can be taken anytime, no pre-reqs."
ME791 - Acoustic Devices,Sripriya Ramamoorthy,The content involves problem solving and the concepts are a bit involved. Complex equations were derived and used in the exam which was open book. The questions are not straight forward but step marking is done.,6 hours a week,None,,,"Derivation of equations for the propagation of sound, boundary conditions and the effect of various shapes and mediums. Involves problem solving and logical use of equations. There is a small amount of theory at the end related to the working of human ear, etc.",,Assignments were very easy,Exams were extremely straightforward and high-scoring,,,Anytime in the fourth year
ME790 - Materials modelling using atomistic first-principles calculations,Ankit Jain,Not applicable,"Just the classes and the assignments (about 2 hours each; 1 assignment in 2 weeks, I think?), which are super easy.",-,"Knowledge of PH107 is useful, but there are no pre-requisites as such.","Assignments 70%, I think and Project was for 30%.","The proposed course will provide hands-on training on first-principles based state-of-the-art density functional theory (DFT) calculations. The setup of a basic planewave based-DFT calculator and the role of different simulation parameters on the obtained results would be discussed. The use of DFT calculator to calculate observable material properties such as bulk modulus, material density, speed of sound in materials, material stability, etc (without using any prior material knowledge) and their comparison with experimentally measured values (from textbook and literature) will be presented. The shortcomings of DFT calculations in predicting electronic bandgaps, handling strongly correlated solids (such as oxides) will be discussed. The course will conclude by presenting beyond-DFT machine learning based methods for accelerated material discovery. Students will work on individual projects where they will demonstrate the use of DFT calculation in their research and/or on an interesting scientific problem. Content: - Basics of programming in Python (different data types, loops, conditional execution, functions, modules, plotting), Python modules-numpy and matplotlib, introduction to atomic simulation environment (ase), ase visualization tools, introduction to unix-based HPC platform for calculations. - Introduction to crystal structures, lattice, basis, surfaces, interatomic interactions, force-fields, pair potentials, shortcomings of force-fields, introduction to DFT theory (basics only for completion). - Setting up DFT calculator via ASE-Python, choice and convergence of results with different DFT parameters, accuracy/speed trade-off, obtaining electronic energies and bandgaps. - Using DFT calculations to get Bulk modulus, material density, speed of sound, formation energies, and other observable material properties. - Under-prediction of electronic bandgaps, over/under bindings, strongly correlated solids, heavy atoms.","Prof Ankit had designed the course with a learning-based approach. What I felt during the class was that their entire focus was on teaching us (and not on grading/testing us). The classroom environment was plenty informal and interactive. 
 I felt that their teaching style is such that youâ€™re not really faced with an overwhelming wave of information that leaves you feeling helpless; the professor helps you break down the concepts involved, and they wonâ€™t proceed if youâ€™re not clear on any given concept; so at the end, the â€˜difficultyâ€™ of the course should be a non-issue, because you understand the content if you speak up in class; someone has said that learning is mostly telling and teaching is mostly listening, so do speak up please : ) .","Designed in a way, not to test us, but to facilitate learning.",No exams,-,-,"8th semester (Jan-April 2020, Spring â€˜19-â€˜20). Iâ€™d say you can take it up anytime if youâ€™ve already done PH107."
ME773 - Reliability Modelling and Analysis for Engineering Systems,Makarand Kulkarni,"The course begins with the very basics and then builds on to bigger things. Besides, the latter topics are also easy to understand. Thus, the overall difficulty of this course is between basic and intermediate.","Owing to the flipped nature of classes, about 1.5-3 hours of extra time commitment per week would be required.",None,None,"Best 4 out of 4 Quizzes + 1 Assignment : 60%
 Endsem : 40%","Importance of reliability modelling and analysis for engineering systems 
  Basics of reliability, availability and maintainability of engineering systems 
  Failure data analysis for non-repairable systems 
  Reliability models for non-repairable systems: System reliability models, Reliability models for mixed population and competing failure modes Stress-strength, degradation based and shock based reliability models Conditional reliability models and residual life estimation Reliability models for multiple operational phases 
  Failure data analysis for repairable systems 
  Reliability models for repairable systems 
  Failure simulation for system performance evaluation Warranty policies, models and their applications","Flipped Classroom: Lectures were uploaded beforehand which the students had to watch and ask related doubts during the designated lecture timings.
 The Professorâ€™s teaching style is nice, but sometimes might end up being a bit boring, owing to the 1.5-hour lecture duration.","For the optional Assignment (only 4 out of 4 quizzes+1 assignment required), one had to prepare a detailed report on one of the topics floated by the professor. The assignment was given due time to be completed, and required extensive research on the topic, thereby requiring time commitment from the students.
 Tutorials were held during the lecture hours, where professor solved selected problems on the relevant topics, which were helpful for the quizzes and endsem.","There was no Midsem.
 The quizzes were relatively easy, requiring knowledge of a selected subset of topics taught after the previous quiz. Questions asked were mostly related to the concepts taught and problems solved during the lectures. Some quizzes were open notes, while others were not
 The endsem was also similar to the quizzes. The entirety of topics taught in the course were the syllabus for the exam. The exam was closed notes, but the questions were mostly similar to those asked in the quizzes.",,"C. E. Ebeling, Reliability and maintainability engineering, Tata McGraw Hill, 2nd Ed.",I took the course in my 9th Semester. The course can be taken in any semester after the 4th semester without much difficulty.
ME769 - Combustion in Automobile and Gas Turbine Engines,Prof. Sreedhara Sheshadri,Moderate,"3 hrs./week for lectures, No self study required.",No attendance policy enforced,"Recommended: Thermodynamics, Heat Transfer
 Optional: Applied Thermodynamics(ME 306), Fuels and Combustion(ME 760)","Assignment(3 + 1-Paper review) 20 %
 Quiz/Class tests (2, pre/post midsem) 15%
 Mid-semester test of 2 hour duration: 25 %
 End-sem exam of 3 hours duration: 40 %","Introduction and Cycles: IC engines classifications, Air standard cycles, Fuel air and actual cycles, Comparison of cycles, Numerical problems.",Microsoft teams was the primary platform for lectures and google meets for exams. The slides were very well prepared and detailed.,3 Assignments involving numerical problems and coding assignments based on each chapter. 4th Assignment included preparing an overview report of any research paper on IC engines or Combustion technologies published in recent years.,"Quizzes - two short(1hr) quizzes 
 Midsem, Endsem - Similar pattern containing a few numerical questions and True/False questions",,"Pundir B.P, IC engines: Combustion and emissions, Narosa
 Publishing house (New Delhi), 2010","I took this course in my 6th Semester, Usually the course runs in only spring semesters. I would recommend to take it in the 6th or 8th semester."
ME761 - Advanced Stereology and Microstructural Analysis,Asim Tewari,The derivations and equations are a bit involved but can be understood by being attentive in class. The course requires problem solving skills with a logical application of concepts which are not too many. The questions asked in the exam are fairly difficult.,2 hours of weekly self study will sufice,5 marks for attendance,None,"Coding Assignments, class attendance, Midsem and Endsem","Teaches methods to make estimation of parameters like volume fraction, area fractions, etc. The course provides insights into sampling and getting values from the sample data, be it in the form of image, or line probes and to efficiently use them. The course includes use of various types of distributions, 3D vectors and sampling methods to arrive at efficient formulae to derive a quantity with the given data.",,Coding assignments were fairly easy,Exams were quite tricky and difficult to answer without a thorough understanding of the course content,,,
ME754 - Textile Machines Design and Automation,Anirban Guha,The course is based on Adams and concepts of KDoM. The course is very chill and the skill set required to perform well in this course can be easily developed.,"10 hours for each assignment, and total of 3 assignments",None,Kinematics and Dynamics of Machines (ME 316),,The course teaches details of textiles machines but they were not required for the assignments (may vary). KDoM concepts and Adams skills are developed.,,Extremely chill assignments,None,,,
ME748 - Computer Aided Simulation of Machines,Anirban Guha,"The course content is easy to understand. The basic idea is developing a generalized method to simulate kinematics and dynamics of varied mechanisms. (It might seem slightly trivial initially but is exceedingly useful in fact when one needs to deal with complex modular mechanisms, basically how a software like ADAMS would do things)",Towards lower side. Weekly 3-4hrs around on average. Time is mainly required to work on the assignments.,Attendance not mandatory,"No mandatory prerequisites.
 Linear Algebra and Calculus basics will help, KDoM course content will also help.","No exams. There were five assignments throughout the semester (including a course project). 3 assignments- Assignment 1, Term project 1 and Term project 2 were basically subpart submissions of a course project (to be worked upon and submitted by each student individually) : Select a mechanism (sufficiently complex) and analytically formulate the kinematics and dynamics and simulate (there were application and theory based questions on these which helped enhance the understanding of mechanisms). One assignment involved studying a research paper on innovation in the domain of Kinematics and Dynamics of Mechanisms and delivering a presentation. The last assignment was a programming assignment where we had to write a MATLAB (Octave) code to perform the kinematic analysis of a given mechanism using the generalized technique taught in class.",Generalized methodology to formulate and simulate the kinematics and dynamics of mechanisms with multiple joints and linkages. Elaborate course content can be found on asc.,Professor used slides and wrote on them itself. Slides are elaborate and sufficient for understanding the course. Slides werenâ€™t shared but one can take ss from the lec recording that was shared after every lecture.,"Easy and interesting, moderately time consuming",,,,I took the course in my 8th semester. The course can be taken in the third or fourth year in my opinion. But the prof had asked the thirdies to deregister during my time.
ME743 - Optical Methods in Mechanical Engineering,Prof. Atul Srivastava,"The professor focuses on learning the concepts, so the â€˜difficultyâ€™ is a non-issue.","Just the classes + a few tutorial sheets to be solved before the exams, nothing else.",Attendance was taken in class everyday,JEE optics,"Midsem and endsem, tutorial sheets, weightages were not disclosed",Concepts in optics and applications of optics in metrology,"Prof Atul centers his teaching on concepts with plenty of visual aid to understand the involved concepts (lots of pretty pictures in this course, btw). Equations are mostly only used to convey concepts. There is plenty of room for doubts in the class, and the professor is always willing to stay back after classes to discuss, so do speak up.",They are learning-based,Pretty straightforward,-,-,7th semester (Autumn â€˜19-â€˜20). Can take whenever.
ME710 - Vibrations Engineering,V. Kartik,The course focuses on downright basics and the difficulty linearly increases throughout the semester. But overall the concepts are not difficult to grasp if one is even a little attentive in class.,Weekly 1 hr self study would be enough,None,"KDoM is not an official prerequisite, but the course builds off the latter part of KDoM","Included 3 quizzes comprising of 20 marks, 30 marks for project and 50 marks for endsem exam","The courses focuses on developing the basics needed to formulate equations of motion for any given system by converting it into a spring, mass and damper system. Towards the end there is some focus on equations relating to damping and some theory related to vibrations but all in all the courses focuses on problem solving going by the fundamentals. The course involves a project which requires some effort and can be done in groups. The exams were also held in groups.",,Project was quite intensive and involved significant modelling and programming components,"Exams could be quite complicated, particularly in the latter half of the course",,,
ME704 - Computational Methods in Thermal & Fluid Engg,Rajneesh Bhardwaj,The equations are straight forward and some basic programming would be enough for all the assignments. Involves lengthy calculations in the endsem exams.,4-5 hours a week,None,None,"Coding Assignments: 30 marks, Endsem exam: 40 marks, Midsem exam: 20 marks, Quizzes: 10 marks","Finite element related equations and concepts like forward difference, Runge Kutta method were taught. The different types of numerical formulations were compared and their significance was shown in class. Students were required to learn how to apply the taught methods rather than going into details of the theory.",,Coding assignments were quite straightforward if one had prior programming experience,Exams were quite lengthy and involved lots of calculations,,,
ME679 - Micromechanics of Composites,Prof. Asim Tewari,"Basic to Intermediate level. All the concepts are taught from scratch, with in-depth calculations done by the Professor in the lecture itself. If the initial lectures are understood carefully by the student, then there should not be much difficulty in understanding the latter topics, which are mostly theoretical.
 The project being individual requires some time input from the student (in learning Python basics and implementing the tensor calculations).",Very limited apart from the lecture hours (only for project).,"None, although attending the lectures is super recommended as the exams are open notes.",Basic knowledge of python recommended.,"Heavy emphasis is given to the course project ~ 40%
 Midsem ~ 25%
 Endsem ~ 35%","A different approach to vectors, tensors and their calculations. 
 Constitutive laws and tensor calculus.
 Types of composites, their relevance.
 Elastic moduli of composites under variety of boundary conditions.
 Composite material behaviour estimation under a variety of loadings.","We had offline lectures in which all the calculations and theory were discussed by Professor in the class itself. Note-making was an essential aspect of the learning, as there were no slides used by the professor in the class.
 Professorâ€™s teaching style is very adaptive and fun, so the 1.5 hour lecture doesnâ€™t feel like a long duration of time. Doubts were solved in the lecture itself and thus there was a very limited requirement of extra time commitment apart from the lecture itself.","The course had a coding project (to be done individually), with the preferred language being python. It was of an all-encompassing type, i.e., as the lectures progressed, new sub-problems were added to the project. Overall, a nice learning experience.","There were no quizzes. The Midsem and Endsem were open book/notes tests with lenient exam duration.
 Both the exams were very thought provoking and many of the questions asked were from the notes provided by the professor. The grading of the tests was mostly binary, with one getting either 0 or full marks for most of the questions.",,"Micromechanics of defects in solids by T. Mura, Springer 19872.",I took the course in my 5th semester. Anytime after the 5th semester would be an ideal time for the course.
